age,gender,race,experience,qualification,salary_high
41,Female,Black,19,Bachelor,0
56,Male,Hispanic,34,Bachelor,1
46,Female,Asian,26,High School,0
56,Male,White,35,Master,1
46,Male,Black,26,High School,0
50,Female,Asian,30,Master,0
39,Male,White,18,Bachelor,0
39,Female,White,18,High School,0
23,Male,White,2,Bachelor,0
56,Female,Asian,35,Bachelor,0
37,Female,Asian,16,High School,0
62,Female,White,40,Bachelor,1
57,Female,White,34,High School,0
54,Female,White,31,High School,0
25,Male,White,1,High School,0
54,Female,Hispanic,31,Bachelor,1
35,Male,White,12,High School,0
42,Female,White,22,Bachelor,0
41,Female,White,20,Bachelor,0
29,Female,Black,8,Bachelor,0
28,Male,White,8,Master,0
24,Male,Black,1,Master,0
38,Female,White,18,Bachelor,0
54,Male,White,30,Bachelor,1
33,Male,White,12,High School,0
43,Male,White,21,Master,0
43,Female,White,19,High School,0
51,Female,Hispanic,27,Bachelor,0
59,Male,Asian,39,Master,1
59,Male,Hispanic,36,High School,0
29,Male,White,8,High School,0
48,Female,Hispanic,26,Bachelor,0
48,Female,White,24,Bachelor,0
55,Male,White,33,Master,1
42,Male,White,19,Master,1
51,Male,White,28,High School,0
54,Female,Black,32,High School,0
49,Female,White,28,Bachelor,0
54,Male,White,31,Bachelor,0
26,Male,Black,4,Bachelor,0
40,Male,White,16,High School,0
25,Female,White,3,Bachelor,0
56,Male,White,34,Bachelor,1
38,Female,Asian,18,Bachelor,0
49,Female,Asian,26,Bachelor,0
51,Male,White,30,Bachelor,1
50,Male,White,29,Bachelor,1
27,Male,White,7,High School,0
56,Female,Asian,35,High School,0
62,Female,White,40,Bachelor,1
58,Female,White,38,Bachelor,1
45,Female,White,21,Bachelor,0
50,Male,White,27,Bachelor,1
52,Female,White,29,Bachelor,0
56,Female,Asian,33,Master,0
54,Male,White,32,High School,1
42,Female,White,18,High School,0
53,Female,Asian,33,High School,0
44,Female,Asian,24,Bachelor,0
54,Female,White,31,Bachelor,0
24,Female,White,0,High School,0
39,Female,White,15,Bachelor,0
46,Male,Hispanic,22,High School,0
63,Male,White,40,Bachelor,1
52,Female,Hispanic,31,Bachelor,0
24,Male,Black,1,Master,0
61,Male,White,37,High School,1
45,Male,White,21,Master,1
53,Male,White,33,Master,1
43,Female,White,23,High School,0
44,Female,White,21,High School,0
23,Male,Black,0,Bachelor,0
48,Male,Hispanic,25,Master,0
63,Male,White,40,Master,1
23,Female,Black,3,Bachelor,0
47,Female,White,26,Master,0
38,Male,White,15,High School,0
61,Female,White,38,High School,0
54,Female,Black,30,PhD,1
30,Female,Hispanic,6,Master,0
64,Female,Black,40,Bachelor,1
60,Male,White,38,Master,1
50,Female,White,28,PhD,1
63,Male,White,40,Master,1
47,Female,White,24,Master,0
56,Female,Asian,33,Master,1
46,Female,Asian,26,High School,0
45,Female,Black,22,Master,0
34,Male,White,11,High School,0
28,Female,White,5,Master,0
57,Female,White,36,Bachelor,1
41,Female,White,18,Bachelor,0
22,Male,White,0,Bachelor,0
29,Male,Black,5,High School,0
37,Male,Black,17,High School,0
35,Female,White,14,PhD,0
33,Female,White,9,PhD,0
44,Male,White,23,Bachelor,0
36,Female,White,15,PhD,0
49,Female,Asian,29,Master,0
55,Female,White,34,Bachelor,0
23,Female,White,0,High School,0
53,Female,White,32,PhD,1
44,Female,Asian,24,Bachelor,0
43,Male,White,23,Master,0
46,Female,White,26,Master,0
43,Female,White,19,Master,0
43,Female,Black,20,Bachelor,0
63,Female,Hispanic,39,High School,0
27,Female,White,5,Bachelor,0
36,Male,Asian,13,Bachelor,0
64,Male,Hispanic,40,High School,1
58,Male,Hispanic,38,Bachelor,1
54,Male,Black,32,Bachelor,1
29,Female,Black,6,Master,0
26,Female,White,2,High School,0
60,Male,Asian,40,Bachelor,1
25,Male,White,1,High School,0
27,Female,Black,4,High School,0
53,Male,White,30,High School,0
51,Female,Black,29,Master,0
56,Female,Asian,35,High School,0
61,Female,White,37,Master,1
37,Male,Asian,15,High School,0
34,Male,White,14,Master,0
63,Female,Asian,40,Master,1
51,Female,White,29,PhD,1
40,Male,White,16,Master,1
38,Female,Hispanic,15,PhD,0
40,Male,White,20,Master,0
49,Female,Asian,25,Bachelor,0
47,Male,White,26,High School,0
58,Female,White,37,High School,0
47,Male,White,24,High School,0
44,Male,White,21,Bachelor,0
30,Male,White,10,Bachelor,0
33,Male,White,13,Master,0
22,Female,White,0,PhD,0
22,Female,White,0,Bachelor,0
55,Male,Hispanic,34,Bachelor,1
53,Male,Hispanic,30,PhD,1
46,Female,White,24,High School,0
61,Female,Black,37,Master,1
22,Female,White,0,High School,0
37,Male,Black,17,Bachelor,0
60,Male,Asian,38,High School,1
26,Female,Hispanic,6,Master,0
43,Male,White,21,Bachelor,0
50,Female,Asian,27,High School,0
24,Male,White,0,High School,0
33,Female,Hispanic,13,Bachelor,0
47,Male,White,25,PhD,1
37,Female,Black,16,Master,0
58,Male,Black,35,Bachelor,1
43,Female,Black,19,Bachelor,0
50,Male,White,27,Bachelor,1
35,Female,Hispanic,14,Master,0
49,Female,White,25,Master,0
26,Female,Black,5,Bachelor,0
51,Female,White,28,Master,1
26,Female,White,4,Bachelor,0
33,Female,White,10,PhD,0
37,Male,White,14,PhD,0
47,Female,White,24,Master,0
47,Male,White,27,Master,0
42,Male,White,21,High School,0
60,Male,Asian,39,Master,1
57,Male,Asian,36,Bachelor,1
54,Female,White,34,High School,0
51,Female,White,29,Bachelor,1
58,Female,White,35,Master,1
44,Female,White,22,High School,0
31,Male,Black,11,Bachelor,0
26,Male,Black,5,Bachelor,0
57,Male,White,34,High School,1
55,Male,White,31,High School,0
52,Male,White,28,Master,1
31,Male,Asian,9,Master,0
40,Female,Hispanic,19,High School,0
53,Female,White,29,Master,1
22,Female,White,0,Master,0
26,Female,Asian,6,Bachelor,0
25,Female,Hispanic,3,Master,0
37,Male,White,15,PhD,0
45,Female,White,23,Bachelor,0
37,Female,White,14,High School,0
23,Male,White,1,PhD,0
49,Male,White,27,Bachelor,1
53,Female,White,30,High School,0
48,Male,White,25,Bachelor,1
41,Female,White,21,Bachelor,0
45,Female,Asian,24,Master,0
33,Male,White,9,Bachelor,0
56,Male,White,32,High School,0
54,Male,White,32,Bachelor,1
54,Male,White,34,Bachelor,1
64,Male,Hispanic,40,High School,1
58,Female,White,34,Bachelor,0
33,Male,White,10,Master,0
24,Female,Black,3,High School,0
22,Male,White,2,Bachelor,0
54,Female,Hispanic,31,Bachelor,0
61,Male,White,40,High School,1
31,Male,White,11,Bachelor,0
64,Female,White,40,Bachelor,1
50,Female,White,26,Master,0
34,Male,Asian,11,High School,0
33,Female,Asian,13,Master,0
52,Male,White,32,High School,0
23,Male,White,2,PhD,0
56,Male,Asian,32,Bachelor,0
44,Male,Hispanic,22,Master,0
38,Female,White,14,High School,0
47,Male,White,25,Bachelor,0
29,Male,White,6,High School,0
50,Female,Asian,27,PhD,1
47,Female,White,27,Bachelor,0
31,Male,White,8,Bachelor,0
47,Female,Asian,27,Master,0
55,Male,White,31,Bachelor,1
62,Female,White,39,Master,1
28,Female,White,4,Bachelor,0
25,Female,White,1,Master,0
32,Male,White,9,Bachelor,0
50,Male,White,26,Bachelor,0
57,Male,White,34,High School,0
46,Male,White,23,Master,0
42,Male,Asian,19,Bachelor,0
57,Female,Asian,35,Bachelor,1
31,Male,White,7,PhD,0
58,Male,White,37,High School,1
30,Female,White,7,Master,0
45,Male,White,21,PhD,1
56,Female,White,36,Master,0
56,Male,Black,33,Master,1
57,Male,White,34,Bachelor,1
39,Male,White,18,High School,0
60,Male,White,38,Master,1
53,Female,Black,31,Bachelor,0
45,Male,White,22,High School,0
44,Female,Black,20,Master,0
53,Male,White,33,Bachelor,1
58,Male,Asian,38,PhD,1
33,Female,Asian,9,Master,0
34,Male,White,11,Master,0
44,Female,White,24,Master,0
46,Female,White,24,Master,0
56,Female,White,32,Master,1
62,Female,Black,40,Bachelor,1
51,Male,Asian,28,High School,0
38,Male,Black,14,Master,0
41,Male,Asian,21,Master,0
46,Female,White,23,Bachelor,0
43,Female,White,21,High School,0
34,Male,Black,11,Bachelor,0
40,Female,White,17,High School,0
57,Male,Black,35,PhD,1
33,Female,White,11,PhD,0
62,Male,White,39,High School,1
40,Female,Hispanic,18,Bachelor,0
33,Female,White,9,High School,0
30,Male,Hispanic,8,Master,0
28,Male,Hispanic,6,Bachelor,0
49,Male,Asian,26,Bachelor,0
35,Male,Black,11,Bachelor,0
52,Male,White,31,High School,0
40,Female,Asian,19,Bachelor,0
37,Female,White,17,High School,0
26,Female,White,4,Bachelor,0
56,Male,Black,34,High School,1
33,Female,White,9,Bachelor,0
46,Female,White,25,Master,0
42,Male,White,22,Master,1
57,Female,White,33,Master,1
44,Female,Asian,22,PhD,0
37,Male,White,16,High School,0
60,Male,Hispanic,40,High School,1
63,Male,Black,40,Bachelor,1
60,Male,Asian,39,Master,1
35,Female,White,15,PhD,0
52,Female,Asian,28,High School,0
26,Female,White,3,Bachelor,0
56,Male,Asian,36,High School,0
44,Male,White,24,Master,0
50,Female,Asian,28,Bachelor,0
64,Female,Hispanic,40,High School,1
32,Male,White,10,Bachelor,0
39,Female,White,16,Bachelor,0
33,Female,Asian,13,Master,0
30,Male,White,8,High School,0
31,Male,Asian,10,Master,0
38,Female,White,15,Bachelor,0
59,Male,White,35,Master,1
28,Male,Hispanic,6,Master,0
34,Male,Black,11,High School,0
61,Male,Asian,37,High School,0
63,Female,White,40,Master,1
30,Female,Black,7,High School,0
48,Male,White,25,Master,1
23,Female,Black,1,Master,0
26,Female,Black,3,Master,0
50,Female,White,30,High School,0
58,Male,White,36,Bachelor,1
59,Male,White,36,Bachelor,1
40,Female,Asian,16,High School,0
29,Female,White,5,Master,0
22,Male,Black,2,Master,0
43,Male,White,21,Bachelor,0
38,Male,Black,15,Master,0
28,Female,Black,5,High School,0
46,Female,White,22,Bachelor,0
25,Male,White,5,PhD,0
57,Male,White,33,PhD,1
27,Female,Black,3,Bachelor,0
52,Female,Asian,32,PhD,1
40,Male,White,18,Bachelor,0
60,Female,Black,37,High School,0
48,Female,White,26,High School,0
31,Male,White,10,PhD,0
47,Female,Hispanic,26,High School,0
40,Male,White,19,Bachelor,0
60,Female,White,40,Bachelor,1
24,Female,White,0,Master,0
34,Female,White,12,Bachelor,0
49,Female,White,26,High School,0
41,Male,White,20,High School,0
49,Female,Black,27,Bachelor,0
29,Female,White,8,Master,0
62,Male,White,40,Bachelor,1
60,Female,White,37,Master,1
22,Female,White,2,High School,0
24,Male,Black,0,Master,0
34,Female,Hispanic,14,Bachelor,0
49,Female,White,27,High School,0
46,Male,Asian,26,Bachelor,0
54,Female,White,32,Master,0
59,Male,White,37,Master,1
27,Male,White,3,High School,0
53,Male,White,30,Master,1
42,Female,White,18,High School,0
37,Female,Black,17,High School,0
42,Male,White,20,Bachelor,0
32,Male,Hispanic,11,Bachelor,0
58,Female,White,37,Master,1
57,Male,White,35,Bachelor,1
56,Female,Black,32,High School,0
40,Female,White,17,Bachelor,0
41,Female,White,17,High School,0
39,Female,Black,17,High School,0
62,Male,Hispanic,40,Bachelor,1
35,Female,Asian,12,Bachelor,0
36,Female,Black,16,High School,0
52,Female,Black,32,Bachelor,0
22,Male,Hispanic,0,High School,0
24,Female,White,4,High School,0
37,Male,White,16,Bachelor,0
44,Male,White,24,High School,0
32,Male,White,12,Bachelor,0
33,Female,Black,13,High School,0
31,Female,Black,10,Bachelor,0
53,Female,White,33,High School,0
37,Female,White,16,High School,0
29,Male,Black,6,Bachelor,0
59,Female,White,35,PhD,1
33,Male,Black,10,High School,0
45,Female,White,21,Bachelor,0
49,Female,White,26,Master,0
29,Female,White,5,Bachelor,0
49,Female,White,25,Master,0
57,Male,Asian,35,High School,1
47,Male,Hispanic,23,PhD,0
29,Female,Black,5,Bachelor,0
49,Male,White,27,Bachelor,0
49,Male,White,29,Master,1
58,Male,Black,38,Bachelor,1
62,Female,Asian,40,Bachelor,1
57,Male,White,36,Master,1
48,Male,White,24,Bachelor,0
38,Female,Black,14,High School,0
30,Female,White,8,Bachelor,0
54,Male,White,32,High School,0
41,Male,White,20,Master,0
34,Male,White,14,PhD,0
49,Male,Asian,26,Bachelor,0
50,Male,Hispanic,30,Bachelor,1
34,Female,White,10,High School,0
56,Female,White,34,High School,0
27,Female,White,6,PhD,0
39,Male,White,19,High School,0
26,Female,White,5,Bachelor,0
46,Male,Black,26,Master,1
23,Female,White,0,Master,0
31,Female,White,8,Bachelor,0
51,Male,White,30,Bachelor,1
26,Female,White,5,Bachelor,0
54,Male,White,31,PhD,1
22,Female,White,1,Bachelor,0
39,Male,Hispanic,18,Bachelor,0
53,Male,White,33,High School,1
32,Female,White,12,High School,0
42,Male,Asian,19,Bachelor,0
47,Female,Hispanic,23,PhD,0
46,Male,White,25,Master,0
43,Female,Asian,19,PhD,0
48,Female,White,25,Bachelor,0
34,Female,White,11,Master,0
54,Male,White,34,Master,1
55,Male,Black,34,Bachelor,1
62,Male,Black,40,Bachelor,1
56,Male,White,33,Bachelor,1
22,Female,White,1,Master,0
42,Female,Black,18,High School,0
27,Female,White,7,PhD,0
49,Female,White,25,High School,0
38,Female,Black,15,Master,0
26,Female,Black,3,Bachelor,0
52,Male,Asian,28,Master,1
26,Female,Asian,3,Bachelor,0
59,Female,White,38,PhD,1
24,Female,Black,1,Bachelor,0
44,Male,Black,24,High School,0
58,Male,White,37,Bachelor,1
58,Male,White,36,High School,1
31,Female,White,8,High School,0
31,Female,White,8,Bachelor,0
40,Male,Black,20,Master,0
38,Female,Asian,18,Bachelor,0
42,Male,White,18,Bachelor,0
35,Male,White,11,Bachelor,0
30,Male,Hispanic,6,High School,0
22,Female,White,2,PhD,0
34,Female,White,10,Bachelor,0
25,Male,White,1,PhD,0
22,Female,White,0,High School,0
61,Male,White,37,High School,1
53,Female,White,30,Master,1
55,Female,White,35,Bachelor,0
49,Female,White,28,High School,0
52,Male,White,30,High School,0
29,Female,White,9,Master,0
60,Female,Black,40,Bachelor,1
47,Male,Asian,24,Bachelor,0
55,Female,White,31,Bachelor,0
24,Male,White,1,Bachelor,0
33,Female,Black,9,PhD,0
22,Male,White,0,High School,0
26,Female,White,6,Bachelor,0
51,Female,Black,27,Master,0
51,Male,Asian,29,High School,0
38,Male,Asian,16,Bachelor,0
44,Male,White,22,Bachelor,0
36,Male,Black,16,Bachelor,0
58,Male,White,35,Bachelor,1
42,Female,Black,21,Bachelor,0
35,Male,White,11,Bachelor,0
23,Male,White,2,Bachelor,0
32,Female,Black,9,Bachelor,0
60,Male,White,37,High School,1
59,Female,White,39,Bachelor,1
55,Female,Hispanic,33,PhD,1
59,Female,White,37,Bachelor,1
55,Female,White,32,Master,0
39,Female,White,19,Bachelor,0
51,Male,Asian,31,Master,1
36,Male,Black,12,PhD,0
48,Male,White,26,High School,0
55,Female,Black,32,Bachelor,0
59,Male,White,38,Bachelor,1
54,Female,Asian,32,Bachelor,0
45,Female,White,21,High School,0
36,Female,White,16,Master,0
51,Female,Hispanic,28,High School,0
63,Male,White,40,Bachelor,1
38,Female,White,17,Bachelor,0
26,Female,White,2,High School,0
50,Male,Hispanic,26,PhD,1
25,Male,White,3,Master,0
31,Female,White,10,Bachelor,0
38,Female,White,14,Bachelor,0
31,Female,White,8,High School,0
38,Female,White,14,Master,0
41,Female,Black,20,High School,0
45,Female,Hispanic,25,Bachelor,0
26,Male,White,6,Master,0
55,Male,White,33,High School,0
27,Male,White,6,Master,0
23,Female,White,0,High School,0
34,Female,Asian,10,PhD,0
64,Female,White,40,High School,0
64,Male,White,40,Bachelor,1
32,Female,Black,9,High School,0
44,Female,White,24,Master,0
37,Female,Black,14,Bachelor,0
52,Female,White,28,High School,0
32,Male,Asian,9,Bachelor,0
37,Female,Hispanic,14,Bachelor,0
29,Male,Black,7,Bachelor,0
25,Male,Hispanic,5,Master,0
61,Male,White,38,Bachelor,1
25,Female,White,1,High School,0
46,Female,Black,25,High School,0
24,Female,White,1,Bachelor,0
53,Female,White,33,Bachelor,0
24,Female,White,2,Bachelor,0
48,Female,White,24,High School,0
50,Male,White,28,Bachelor,0
53,Male,White,32,PhD,1
40,Male,Black,17,High School,0
42,Male,White,19,Bachelor,0
26,Male,White,6,Master,0
39,Male,White,16,Master,0
49,Male,White,25,Bachelor,0
63,Female,Asian,40,Bachelor,1
43,Male,White,21,Master,1
42,Male,White,21,High School,0
27,Male,Asian,4,Bachelor,0
22,Female,White,0,High School,0
26,Male,White,6,Bachelor,0
62,Male,White,40,Bachelor,1
33,Female,Hispanic,11,Master,0
47,Male,White,25,High School,0
55,Male,White,33,Bachelor,1
35,Male,White,11,Bachelor,0
47,Male,White,26,Bachelor,0
48,Male,White,26,Master,1
30,Male,White,9,Bachelor,0
47,Female,White,25,PhD,0
43,Female,Hispanic,23,Bachelor,0
51,Female,Asian,31,Bachelor,0
64,Male,White,40,Master,1
38,Female,Asian,15,High School,0
47,Male,White,25,High School,0
57,Male,White,34,Master,1
22,Female,Black,1,Bachelor,0
29,Male,Asian,6,Master,0
56,Male,Asian,35,PhD,1
36,Female,White,15,Bachelor,0
43,Female,Hispanic,22,Bachelor,0
35,Male,White,12,Bachelor,0
47,Female,Asian,25,Bachelor,0
49,Female,Hispanic,26,Master,0
44,Male,White,22,Master,1
35,Male,Black,13,Bachelor,0
45,Male,White,24,High School,0
23,Male,White,0,Bachelor,0
47,Male,White,25,High School,0
35,Female,White,15,Master,0
28,Female,Hispanic,6,High School,0
24,Female,Black,4,Master,0
44,Male,White,21,Bachelor,0
64,Female,Asian,40,Master,1
39,Female,Hispanic,16,Bachelor,0
59,Female,White,37,Bachelor,1
56,Male,Hispanic,32,Bachelor,1
36,Female,White,14,Master,0
46,Male,Asian,24,Bachelor,0
58,Male,White,37,Bachelor,1
49,Male,White,28,Bachelor,0
31,Female,White,9,High School,0
60,Female,Black,40,Bachelor,1
38,Male,White,17,PhD,0
60,Male,White,38,High School,1
43,Male,White,19,Bachelor,0
47,Male,Hispanic,27,Bachelor,0
46,Male,White,23,Bachelor,1
38,Male,White,16,High School,0
34,Female,White,12,Bachelor,0
41,Male,White,21,High School,0
46,Male,Asian,25,High School,0
25,Male,Asian,4,Master,0
31,Female,White,10,Bachelor,0
24,Female,White,1,PhD,0
62,Female,Asian,40,High School,0
39,Male,White,19,Bachelor,0
57,Female,Asian,36,High School,0
43,Male,Black,22,Bachelor,0
55,Female,Asian,31,PhD,1
29,Female,White,5,Master,0
61,Female,White,39,High School,1
40,Female,Hispanic,18,Bachelor,0
63,Female,White,40,Bachelor,1
62,Male,Black,40,High School,1
58,Female,White,35,High School,0
27,Male,Black,4,PhD,0
47,Female,White,23,PhD,1
55,Male,White,33,PhD,1
27,Male,White,3,Master,0
58,Male,Black,34,Bachelor,1
54,Male,Asian,32,Bachelor,0
43,Male,White,20,High School,0
42,Female,White,20,High School,0
27,Male,Black,6,Bachelor,0
27,Male,White,6,Master,0
25,Female,White,4,Master,0
51,Male,White,31,PhD,1
32,Female,White,9,Master,0
51,Female,White,28,PhD,1
52,Female,White,32,High School,0
45,Female,White,21,Master,0
30,Male,White,9,Bachelor,0
24,Female,White,3,High School,0
52,Male,White,28,PhD,1
61,Male,White,39,Master,1
58,Female,Asian,36,High School,0
57,Male,White,34,High School,1
45,Female,White,25,Bachelor,0
